"sample","accuracy","kernel","nu","epsilon"
1,19.13,"rbfdot",0.0461905787233263,0.0867550971452147
2,18.4,"tanhdot",0.294684815919027,0.0983026439789683
3,19.07,"rbfdot",0.394240501103923,0.926600995473564
4,24.97,"polydot",0.347275187727064,0.50411523366347
5,25.8,"vanilladot",0.603430985473096,0.135563548188657
6,18.93,"rbfdot",0.876224549254403,0.181514807976782
7,19.07,"vanilladot",0.693641885183752,0.414110181853175
8,19.93,"tanhdot",0.524401200702414,0.608351995237172
9,26,"vanilladot",0.78512178407982,0.288885989692062
10,19.9,"tanhdot",0.0203677287790924,0.299673957517371
